PHONE_REDACTEDT17:PORT:PORT.913295Z	   12 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
PHONE_REDACTEDT17:PORT:PORT.915968Z	   12 Query	SET character_set_results = NULL
PHONE_REDACTEDT17:PORT:PORT.917510Z	   12 Query	SET autocommit=1
PHONE_REDACTEDT17:PORT:PORT.919180Z	   12 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT17:PORT:PORT.531246Z	   10 Quit	
PHONE_REDACTEDT17:PORT:PORT.591547Z	   13 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
PHONE_REDACTEDT17:PORT:PORT.595747Z	   13 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
PHONE_REDACTEDT17:PORT:PORT.598433Z	   13 Query	SET character_set_results = NULL
PHONE_REDACTEDT17:PORT:PORT.599840Z	   13 Query	SET autocommit=1
PHONE_REDACTEDT17:PORT:PORT.601402Z	   13 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT18:PORT:PORT.433223Z	   13 Quit	
PHONE_REDACTEDT18:PORT:PORT.488514Z	   14 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
PHONE_REDACTEDT18:PORT:PORT.491776Z	   14 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
PHONE_REDACTEDT18:PORT:PORT.493947Z	   14 Query	SET character_set_results = NULL
PHONE_REDACTEDT18:PORT:PORT.494899Z	   14 Query	SET autocommit=1
PHONE_REDACTEDT18:PORT:PORT.496291Z	   14 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT18:PORT:PORT.283012Z	   12 Quit	
PHONE_REDACTEDT18:PORT:PORT.332137Z	   15 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
PHONE_REDACTEDT18:PORT:PORT.335248Z	   15 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
